brand_name	conceptid	drug_name
"liqui doss"	"111089004"	"mineral oil (substance)"
"sterilube"	"111089004"	"mineral oil (substance)"
"soothe mineral oil"	"111089004"	"mineral oil (substance)"
"preparation h reformulated jun 2013"	"111089004"	"mineral oil (substance)"
"systane nighttime"	"111089004"	"mineral oil (substance)"
"retaine pm"	"111089004"	"mineral oil (substance)"
"formulation r ointment"	"111089004"	"mineral oil (substance)"
"refresh pm"	"111089004"	"mineral oil (substance)"
"stye"	"111089004"	"mineral oil (substance)"
"moisture eyes pm"	"111089004"	"mineral oil (substance)"
"preparation h"	"111089004"	"mineral oil (substance)"
"tears again ointment"	"111089004"	"mineral oil (substance)"
"gent-l-tip mineral oil"	"111089004"	"mineral oil (substance)"
"vetscription hairball relief"	"111089004"	"mineral oil (substance)"
"altalube"	"111089004"	"mineral oil (substance)"
"tears naturale pm"	"111089004"	"mineral oil (substance)"
"lubrifresh p.m."	"111089004"	"mineral oil (substance)"
"puralube"	"111089004"	"mineral oil (substance)"
"agoral"	"111089004"	"mineral oil (substance)"
"genteal pm"	"111089004"	"mineral oil (substance)"
"sentry hc petromalt"	"111089004"	"mineral oil (substance)"
"atopalm hemorrhoidal"	"111089004"	"mineral oil (substance)"
"kondremul plain"	"111089004"	"mineral oil (substance)"
"kondremul with phenolphtalein"	"111089004"	"mineral oil (substance)"
"grx hemorrhoidal"	"111089004"	"mineral oil (substance)"
"refresh lacri-lube"	"111089004"	"mineral oil (substance)"
"milkinol"	"111089004"	"mineral oil (substance)"
"tucks hemorrhoidal"	"111089004"	"mineral oil (substance)"
"soothe night time"	"111089004"	"mineral oil (substance)"
"retaine mgd"	"111089004"	"mineral oil (substance)"
"formalyde-10 spray"	"111095003"	"formaldehyde (substance)"
"forma-ray"	"111095003"	"formaldehyde (substance)"
"lazerformalyde"	"111095003"	"formaldehyde (substance)"
"formadon"	"111095003"	"formaldehyde (substance)"
"formalaz"	"111095003"	"formaldehyde (substance)"
"placidyl"	"111126006"	"ethchlorvynol (substance)"
"domeboro"	"111147005"	"aluminum sulfate (substance)"
"styptocaine"	"111147005"	"aluminum sulfate (substance)"
"penthrane"	"11136004"	"methoxyflurane (substance)"
"pitocin"	"112115002"	"oxytocin (substance)"
"syntocinon"	"112115002"	"oxytocin (substance)"
"oxoject"	"112115002"	"oxytocin (substance)"
"sweet-ease"	"11320009"	"sucrose (substance)"
"tootsweet"	"11320009"	"sucrose (substance)"
"metahydrin"	"11473005"	"trichlormethiazide (substance)"
"aquacot"	"11473005"	"trichlormethiazide (substance)"
"naqua"	"11473005"	"trichlormethiazide (substance)"
"diurese"	"11473005"	"trichlormethiazide (substance)"
"azelex"	"115379003"	"azelate (substance)"
"finevin"	"115379003"	"azelate (substance)"
"finacea"	"115379003"	"azelate (substance)"
"aqua glycolic"	"115383003"	"glycolate (substance)"
"aqua glycolic shampoo and body cleanser"	"115383003"	"glycolate (substance)"
"celebrex"	"116081000"	"celecoxib (substance)"
"panretin"	"116086005"	"alitretinoin (substance)"
"pletal"	"116087001"	"cilostazol (substance)"
"depocyt"	"116089003"	"cytarabine liposome (substance)"
"xopenex"	"116090007"	"levalbuterol (substance)"
"hectorol"	"116094003"	"doxercalciferol (substance)"
"tikosyn"	"116107002"	"dofetilide (substance)"
"magonate"	"116126005"	"magnesium gluconate (substance)"
"almora"	"116126005"	"magnesium gluconate (substance)"
"mag-g"	"116126005"	"magnesium gluconate (substance)"
"optimum brand of magnesium gluconate"	"116126005"	"magnesium gluconate (substance)"
"magtrate"	"116126005"	"magnesium gluconate (substance)"
"mag-tab sr"	"116129003"	"magnesium lactate (substance)"
"ferrlecit"	"116130008"	"sodium ferric gluconate complex (substance)"
"nulecit"	"116130008"	"sodium ferric gluconate complex (substance)"
"tequin"	"116349004"	"gatifloxacin (substance)"
"zymaxid"	"116349004"	"gatifloxacin (substance)"
"zymar"	"116349004"	"gatifloxacin (substance)"
"acova"	"116508003"	"argatroban (substance)"
"lotronex"	"116509006"	"alosetron (substance)"
"doculax plus"	"116530002"	"casanthranol (substance)"
"octycine"	"116530002"	"casanthranol (substance)"
"aqualax forte"	"116530002"	"casanthranol (substance)"
"doxidan"	"116530002"	"casanthranol (substance)"
"docusoft s+"	"116530002"	"casanthranol (substance)"
"chloresium topical"	"116541000"	"chlorophyllin copper complex (substance)"
"chloresium"	"116541000"	"chlorophyllin copper complex (substance)"
"nullo"	"116541000"	"chlorophyllin copper complex (substance)"
"pals"	"116541000"	"chlorophyllin copper complex (substance)"
"aqua-ban"	"116552006"	"pamabrom (substance)"
"diurex aquagels"	"116552006"	"pamabrom (substance)"
"diurex max"	"116552006"	"pamabrom (substance)"
"alphatrex"	"116571008"	"betamethasone (substance)"
"beta-val"	"116571008"	"betamethasone (substance)"
"adbeon"	"116571008"	"betamethasone (substance)"
"uticort"	"116571008"	"betamethasone (substance)"
"cell-u-jec"	"116571008"	"betamethasone (substance)"
"betagen brand of betamethasone and gentamicin"	"116571008"	"betamethasone (substance)"
"selestoject"	"116571008"	"betamethasone (substance)"
"gentaotic"	"116571008"	"betamethasone (substance)"
"betamethacot"	"116571008"	"betamethasone (substance)"
"diprolene"	"116571008"	"betamethasone (substance)"
"celestone phosphate"	"116571008"	"betamethasone (substance)"
"luxiq"	"116571008"	"betamethasone (substance)"
"diprosone"	"116571008"	"betamethasone (substance)"
"gentaved"	"116571008"	"betamethasone (substance)"
"remicin"	"116571008"	"betamethasone (substance)"
"maxivate"	"116571008"	"betamethasone (substance)"
"celestone"	"116571008"	"betamethasone (substance)"
"betaderm"	"116571008"	"betamethasone (substance)"
"malotic"	"116571008"	"betamethasone (substance)"
"betanate"	"116571008"	"betamethasone (substance)"
"gentasoothe"	"116571008"	"betamethasone (substance)"
"gentaspray"	"116571008"	"betamethasone (substance)"
"tri-otic for canines"	"116571008"	"betamethasone (substance)"
"lotrisone"	"116571008"	"betamethasone (substance)"
"valisone"	"116571008"	"betamethasone (substance)"
"celestone soluspan"	"116571008"	"betamethasone (substance)"
"genone"	"116571008"	"betamethasone (substance)"
"relifor"	"116571008"	"betamethasone (substance)"
"betatrex"	"116571008"	"betamethasone (substance)"
"del-beta"	"116571008"	"betamethasone (substance)"
"vetromax"	"116571008"	"betamethasone (substance)"
"gentacalm"	"116571008"	"betamethasone (substance)"
"dovobet"	"116571008"	"betamethasone (substance)"
"teladar"	"116571008"	"betamethasone (substance)"
"vanceril"	"116574000"	"beclomethasone (substance)"
"beclovent"	"116574000"	"beclomethasone (substance)"
"qvar"	"116574000"	"beclomethasone (substance)"
"qnasl"	"116574000"	"beclomethasone (substance)"
"vancenase"	"116574000"	"beclomethasone (substance)"
"beconase"	"116574000"	"beclomethasone (substance)"
"florinef"	"116586002"	"fludrocortisone (substance)"
"nasarel"	"116588001"	"flunisolide (substance)"
"aerobid"	"116588001"	"flunisolide (substance)"
"nasalide"	"116588001"	"flunisolide (substance)"
"aerospan"	"116588001"	"flunisolide (substance)"
"solu-medrol"	"116593003"	"methylprednisolone (substance)"
"hybrisil"	"116593003"	"methylprednisolone (substance)"
"depo-medrol"	"116593003"	"methylprednisolone (substance)"
"medrol"	"116593003"	"methylprednisolone (substance)"
"a-methapred"	"116593003"	"methylprednisolone (substance)"
"acetocot"	"116594009"	"triamcinolone (substance)"
"azmacort"	"116594009"	"triamcinolone (substance)"
"pediaderm ta"	"116594009"	"triamcinolone (substance)"
"rx triamcinolone"	"116594009"	"triamcinolone (substance)"
"triderm"	"116594009"	"triamcinolone (substance)"
"dermasorb ta"	"116594009"	"triamcinolone (substance)"
"trilone"	"116594009"	"triamcinolone (substance)"
"kenalog"	"116594009"	"triamcinolone (substance)"
"cinolar"	"116594009"	"triamcinolone (substance)"
"tri-med"	"116594009"	"triamcinolone (substance)"
"triacet"	"116594009"	"triamcinolone (substance)"
"tri-nasal"	"116594009"	"triamcinolone (substance)"
"oralone"	"116594009"	"triamcinolone (substance)"
"tri-kort"	"116594009"	"triamcinolone (substance)"
"triamcot"	"116594009"	"triamcinolone (substance)"
"amcort"	"116594009"	"triamcinolone (substance)"
"clinalog"	"116594009"	"triamcinolone (substance)"
"delta-tritex"	"116594009"	"triamcinolone (substance)"
"trianex"	"116594009"	"triamcinolone (substance)"
"nasacort"	"116594009"	"triamcinolone (substance)"
"aristopak"	"116594009"	"triamcinolone (substance)"
"u-tri-lone"	"116594009"	"triamcinolone (substance)"
"clinacort"	"116594009"	"triamcinolone (substance)"
"aristocort"	"116594009"	"triamcinolone (substance)"
"aristospan"	"116594009"	"triamcinolone (substance)"
"allernaze"	"116594009"	"triamcinolone (substance)"
"tristoject"	"116594009"	"triamcinolone (substance)"
"flutex"	"116594009"	"triamcinolone (substance)"
"aricin"	"116594009"	"triamcinolone (substance)"
"trilog"	"116594009"	"triamcinolone (substance)"
"cortalone"	"116594009"	"triamcinolone (substance)"
"cort-k"	"116594009"	"triamcinolone (substance)"
"triesence"	"116594009"	"triamcinolone (substance)"
"cinalog"	"116594009"	"triamcinolone (substance)"
"prelone"	"116601002"	"prednisolone (substance)"
"ocu-pred-a"	"116601002"	"prednisolone (substance)"
"predaject-50"	"116601002"	"prednisolone (substance)"
"depo-predate"	"116601002"	"prednisolone (substance)"
"ak-cide"	"116601002"	"prednisolone (substance)"
"key-pred"	"116601002"	"prednisolone (substance)"
"hydeltrasol"	"116601002"	"prednisolone (substance)"
"blephamide"	"116601002"	"prednisolone (substance)"
"temaril-p"	"116601002"	"prednisolone (substance)"
"medicort"	"116601002"	"prednisolone (substance)"
"inflamase mild"	"116601002"	"prednisolone (substance)"
"ocu-pred forte"	"116601002"	"prednisolone (substance)"
"pediapred"	"116601002"	"prednisolone (substance)"
"predicort-50"	"116601002"	"prednisolone (substance)"
"omnipred"	"116601002"	"prednisolone (substance)"
"sulster"	"116601002"	"prednisolone (substance)"
"pred-ject-50"	"116601002"	"prednisolone (substance)"
"prednistab"	"116601002"	"prednisolone (substance)"
"cetapred"	"116601002"	"prednisolone (substance)"
"pred-g"	"116601002"	"prednisolone (substance)"
"predate-50"	"116601002"	"prednisolone (substance)"
"cotolone"	"116601002"	"prednisolone (substance)"
"pri-cortin 50"	"116601002"	"prednisolone (substance)"
"predcor"	"116601002"	"prednisolone (substance)"
"pred mild"	"116601002"	"prednisolone (substance)"
"flo-pred"	"116601002"	"prednisolone (substance)"
"millipred"	"116601002"	"prednisolone (substance)"
"predicort rp"	"116601002"	"prednisolone (substance)"
"asmalpred plus"	"116601002"	"prednisolone (substance)"
"medasulf"	"116601002"	"prednisolone (substance)"
"predalone 50"	"116601002"	"prednisolone (substance)"
"key-pred sp"	"116601002"	"prednisolone (substance)"
"prednisol"	"116601002"	"prednisolone (substance)"
"hydeltra-t.b.a."	"116601002"	"prednisolone (substance)"
"vasocidin"	"116601002"	"prednisolone (substance)"
"econopred plus"	"116601002"	"prednisolone (substance)"
"pred forte"	"116601002"	"prednisolone (substance)"
"bubbli-pred"	"116601002"	"prednisolone (substance)"
"supred"	"116601002"	"prednisolone (substance)"
"inflamase forte"	"116601002"	"prednisolone (substance)"
"ak-pred"	"116601002"	"prednisolone (substance)"
"metimyd"	"116601002"	"prednisolone (substance)"
"predacort 50"	"116601002"	"prednisolone (substance)"
"econopred"	"116601002"	"prednisolone (substance)"
"orapred"	"116601002"	"prednisolone (substance)"
"ocu-pred"	"116601002"	"prednisolone (substance)"
"solu-delta-cortef"	"116601002"	"prednisolone (substance)"
"veripred"	"116601002"	"prednisolone (substance)"
"sterapred ds"	"116602009"	"prednisone (substance)"
"rayos"	"116602009"	"prednisone (substance)"
"orasone"	"116602009"	"prednisone (substance)"
"sterapred"	"116602009"	"prednisone (substance)"
"meticorten"	"116602009"	"prednisone (substance)"
"prednicot"	"116602009"	"prednisone (substance)"
"deltasone"	"116602009"	"prednisone (substance)"
"liquid pred"	"116602009"	"prednisone (substance)"
"prednicen-m"	"116602009"	"prednisone (substance)"
"triaminic sore throat"	"116613007"	"phenol (substance)"
"rx-act sore throat"	"116613007"	"phenol (substance)"
"cepastat"	"116613007"	"phenol (substance)"
"ulcerease"	"116613007"	"phenol (substance)"
"castellani paint"	"116613007"	"phenol (substance)"
"mycinette sore throat spray"	"116613007"	"phenol (substance)"
"ora relief"	"116613007"	"phenol (substance)"
"unguentine"	"116613007"	"phenol (substance)"
"pain-a-lay gargle"	"116613007"	"phenol (substance)"
"chloraseptic spray"	"116613007"	"phenol (substance)"
"cheracol sore throat"	"116613007"	"phenol (substance)"
"ponstel"	"116727007"	"mefenamate (substance)"
"eye stream"	"11713004"	"water (substance)"
"optivet eye irrigating"	"11713004"	"water (substance)"
"salinaax"	"11713004"	"water (substance)"
"ocufresh"	"11713004"	"water (substance)"
"pur-wash"	"11713004"	"water (substance)"
"opticlear"	"11713004"	"water (substance)"
"dorama-neo"	"11713004"	"water (substance)"
"eye-lert"	"11713004"	"water (substance)"
"meclomen"	"117178002"	"meclofenamate (substance)"
"zonegran"	"125693002"	"zonisamide (substance)"
"ontak"	"125700002"	"denileukin diftitox (substance)"
"norocarp"	"125710006"	"carprofen (substance)"
"novox"	"125710006"	"carprofen (substance)"
"carpaquin"	"125710006"	"carprofen (substance)"
"rovera"	"125710006"	"carprofen (substance)"
"carprieve"	"125710006"	"carprofen (substance)"
"truprofen"	"125710006"	"carprofen (substance)"
"rimadyl"	"125710006"	"carprofen (substance)"
"vetprofen"	"125710006"	"carprofen (substance)"
"quellin"	"125710006"	"carprofen (substance)"
"methergine"	"126074008"	"methylergonovine (substance)"
"pad kote"	"126082008"	"cod liver oil (substance)"
"dermatop"	"126086006"	"prednicarbate (substance)"
"megace"	"126091007"	"megestrol (substance)"
"ovral"	"126097006"	"ethinyl estradiol (substance)"
"ortho evra"	"126097006"	"ethinyl estradiol (substance)"
"xulane"	"126097006"	"ethinyl estradiol (substance)"
"ortho-cyclen"	"126097006"	"ethinyl estradiol (substance)"
"tri-levlen"	"126097006"	"ethinyl estradiol (substance)"
"femhrt"	"126097006"	"ethinyl estradiol (substance)"
"levora"	"126097006"	"ethinyl estradiol (substance)"
"lybrel"	"126097006"	"ethinyl estradiol (substance)"
"sronyx"	"126097006"	"ethinyl estradiol (substance)"
"jinteli"	"126097006"	"ethinyl estradiol (substance)"
"preven ec"	"126097006"	"ethinyl estradiol (substance)"
"jevantique"	"126097006"	"ethinyl estradiol (substance)"
"angeliq"	"126097006"	"ethinyl estradiol (substance)"
"alesse"	"126097006"	"ethinyl estradiol (substance)"
"desogen"	"126097006"	"ethinyl estradiol (substance)"
"nuvaring"	"126097006"	"ethinyl estradiol (substance)"
"levlen"	"126097006"	"ethinyl estradiol (substance)"
"estinyl"	"126097006"	"ethinyl estradiol (substance)"
"levlite"	"126097006"	"ethinyl estradiol (substance)"
"anadrol-50"	"126101002"	"oxymetholone (substance)"
"nor-qd"	"126102009"	"norethindrone (substance)"
"aygestin"	"126102009"	"norethindrone (substance)"
"norlyroc"	"126102009"	"norethindrone (substance)"
"winstrol"	"126103004"	"stanozolol (substance)"
"ovrette"	"126106007"	"norgestrel (substance)"
"opcicon one-step"	"126109000"	"levonorgestrel (substance)"
"mirena"	"126109000"	"levonorgestrel (substance)"
"afterpill"	"126109000"	"levonorgestrel (substance)"
"morning after"	"126109000"	"levonorgestrel (substance)"
"norplant system"	"126109000"	"levonorgestrel (substance)"
"take action"	"126109000"	"levonorgestrel (substance)"
"skyla"	"126109000"	"levonorgestrel (substance)"
"liletta"	"126109000"	"levonorgestrel (substance)"
"my way"	"126109000"	"levonorgestrel (substance)"
"fallback solo"	"126109000"	"levonorgestrel (substance)"
"aftera"	"126109000"	"levonorgestrel (substance)"
"next choice one dose"	"126109000"	"levonorgestrel (substance)"
"econtra"	"126109000"	"levonorgestrel (substance)"
"plan b one-step"	"126109000"	"levonorgestrel (substance)"
"prodrox"	"126110005"	"hydroxyprogesterone (substance)"
"duralutin"	"126110005"	"hydroxyprogesterone (substance)"
"hylutin"	"126110005"	"hydroxyprogesterone (substance)"
"makena"	"126110005"	"hydroxyprogesterone (substance)"
"delta-lutin"	"126110005"	"hydroxyprogesterone (substance)"
"depo-subq provera"	"126113007"	"medroxyprogesterone (substance)"
"curretab"	"126113007"	"medroxyprogesterone (substance)"
"cycrin"	"126113007"	"medroxyprogesterone (substance)"
"provera"	"126113007"	"medroxyprogesterone (substance)"
"amen"	"126113007"	"medroxyprogesterone (substance)"
"depo-provera"	"126113007"	"medroxyprogesterone (substance)"
"danocrine"	"126124009"	"danazol (substance)"
"halotestin"	"126125005"	"fluoxymesterone (substance)"
"androxy"	"126125005"	"fluoxymesterone (substance)"
"oxandrin"	"126128007"	"oxandrolone (substance)"
"capitrol"	"126148000"	"chloroxine (substance)"
"essian"	"126161000"	"methyltestosterone (substance)"
"android"	"126161000"	"methyltestosterone (substance)"
"android-25"	"126161000"	"methyltestosterone (substance)"
"menogen"	"126161000"	"methyltestosterone (substance)"
"eemt"	"126161000"	"methyltestosterone (substance)"
"methitest"	"126161000"	"methyltestosterone (substance)"
"virilon"	"126161000"	"methyltestosterone (substance)"
"estratest"	"126161000"	"methyltestosterone (substance)"
"android-10"	"126161000"	"methyltestosterone (substance)"
"oreton methyl"	"126161000"	"methyltestosterone (substance)"
"covaryx"	"126161000"	"methyltestosterone (substance)"
"testred"	"126161000"	"methyltestosterone (substance)"
"ortho dienestrol"	"126169003"	"dienestrol (substance)"
"durabolin"	"126171003"	"nandrolone (substance)"
"deca-durabolin"	"126171003"	"nandrolone (substance)"
"durabolin 50"	"126171003"	"nandrolone (substance)"
"andryl 200"	"126171003"	"nandrolone (substance)"
"androlone-d"	"126171003"	"nandrolone (substance)"
"hybolin decanoate"	"126171003"	"nandrolone (substance)"
"anabolin la"	"126171003"	"nandrolone (substance)"
"hybolin-improved"	"126171003"	"nandrolone (substance)"
"ogen"	"126182006"	"estropipate (substance)"
"ortho-est"	"126182006"	"estropipate (substance)"
"ddavp"	"126189002"	"desmopressin (substance)"
"minirin"	"126189002"	"desmopressin (substance)"
"stimate"	"126189002"	"desmopressin (substance)"
"dht intensol"	"126235007"	"dihydrotachysterol (substance)"
"hytakerol"	"126235007"	"dihydrotachysterol (substance)"
"dht"	"126235007"	"dihydrotachysterol (substance)"
"caroguard"	"127385007"	"beta carotene (substance)"
"b-caro-t"	"127385007"	"beta carotene (substance)"
"solatene"	"127385007"	"beta carotene (substance)"
"centrum singles-beta carotene"	"127385007"	"beta carotene (substance)"
"mylotarg"	"127964000"	"gemtuzumab ozogamicin (substance)"
"campath"	"129472003"	"alemtuzumab (substance)"
"lemtrada"	"129472003"	"alemtuzumab (substance)"
"valcyte"	"129476000"	"valganciclovir (substance)"
"latisse"	"129492005"	"bimatoprost (substance)"
"lumigan"	"129492005"	"bimatoprost (substance)"
"travatan"	"129493000"	"travoprost (substance)"
"angiomax"	"129498009"	"bivalirudin (substance)"
"cefotan"	"13585009"	"cefotetan (substance)"
"hydropel"	"13652007"	"silicone (substance)"
"derifil"	"14602007"	"chlorophyll (substance)"
"chromelin"	"14809000"	"dihydroxyacetone (substance)"
"vitadye"	"14809000"	"dihydroxyacetone (substance)"
"branchamin"	"14971004"	"isoleucine (substance)"
"caldesene w/ talc"	"1557002"	"talc (substance)"
"sclerosol"	"1557002"	"talc (substance)"
"azo-gesic"	"15785009"	"phenazopyridine (substance)"
"azo gantrisin"	"15785009"	"phenazopyridine (substance)"
"baridium"	"15785009"	"phenazopyridine (substance)"
"pyridium"	"15785009"	"phenazopyridine (substance)"
"azo-truxazole"	"15785009"	"phenazopyridine (substance)"
"urodol"	"15785009"	"phenazopyridine (substance)"
"uristat"	"15785009"	"phenazopyridine (substance)"
"pyridium plus"	"15785009"	"phenazopyridine (substance)"
"uricalm"	"15785009"	"phenazopyridine (substance)"
"azo gantanol"	"15785009"	"phenazopyridine (substance)"
"uti relief"	"15785009"	"phenazopyridine (substance)"
"viridium"	"15785009"	"phenazopyridine (substance)"
"eridium"	"15785009"	"phenazopyridine (substance)"
"azo-standard"	"15785009"	"phenazopyridine (substance)"
"azo-standard max strength"	"15785009"	"phenazopyridine (substance)"
"phenazo"	"15785009"	"phenazopyridine (substance)"
"re-azo"	"15785009"	"phenazopyridine (substance)"
"urogesic"	"15785009"	"phenazopyridine (substance)"
"prodium"	"15785009"	"phenazopyridine (substance)"
"cordran"	"16522004"	"flurandrenolide (substance)"
"cordran sp"	"16522004"	"flurandrenolide (substance)"
"endometrin"	"16683002"	"progesterone (substance)"
"prometrium"	"16683002"	"progesterone (substance)"
"progest"	"16683002"	"progesterone (substance)"
"eazi-breed cidr"	"16683002"	"progesterone (substance)"
"crinone"	"16683002"	"progesterone (substance)"
"cyclogest"	"16683002"	"progesterone (substance)"
"prochieve"	"16683002"	"progesterone (substance)"
"zanosar"	"16915004"	"streptozocin (substance)"
"cholbam"	"17147002"	"cholic acid (substance)"
"tacaryl"	"18462008"	"methdilazine (substance)"
"phenurone"	"18712002"	"phenacemide (substance)"
"xylo-pfan"	"19160003"	"xylose (substance)"
"arlex"	"19839007"	"sorbitol (substance)"
"collyrium fresh"	"21611007"	"boric acid (substance)"
"ear-dry"	"21611007"	"boric acid (substance)"
"borofax"	"21611007"	"boric acid (substance)"
"dri-ear"	"21611007"	"boric acid (substance)"
"solganal"	"21880003"	"aurothioglucose (substance)"
"fluro-ethyl"	"22005007"	"ethyl chloride (substance)"
"ammonul"	"226376004"	"benzoate (substance)"
"provita combat"	"226376004"	"benzoate (substance)"
"rumagon"	"228987005"	"turpentine (substance)"
"cornucrescine daily hoof barrier"	"228987005"	"turpentine (substance)"
"dyclone"	"23564005"	"dyclonine (substance)"
"cepacol spray"	"23564005"	"dyclonine (substance)"
"sucrets"	"23564005"	"dyclonine (substance)"
"ez-ox"	"24099007"	"oxygen (substance)"
"opana"	"24751001"	"oxymorphone (substance)"
"gold bond concentrated therapy"	"25307002"	"petrolatum (substance)"
"welmedix homecare pro"	"25307002"	"petrolatum (substance)"
"aquaphor"	"25307002"	"petrolatum (substance)"
"corona udder butter"	"25307002"	"petrolatum (substance)"
"hemo-fin"	"25307002"	"petrolatum (substance)"
"gold bond concentrated therapy ointment"	"25307002"	"petrolatum (substance)"
"rash relief clear"	"25307002"	"petrolatum (substance)"
"cloverine"	"25307002"	"petrolatum (substance)"
"sensi-care protective barrier"	"25307002"	"petrolatum (substance)"
"soothe & cool moisture barrier"	"25307002"	"petrolatum (substance)"
"gold bond ultimate diabetics dry skin relief"	"25307002"	"petrolatum (substance)"
"remedy zinc skin protectant"	"25307002"	"petrolatum (substance)"
"ilex skin"	"25307002"	"petrolatum (substance)"
"welmedix homecare pro fragile skin"	"25307002"	"petrolatum (substance)"
"lickables hairball relief"	"25307002"	"petrolatum (substance)"
"aloe vesta protective barrier"	"25307002"	"petrolatum (substance)"
"dermagran bc"	"25307002"	"petrolatum (substance)"
"moisturel"	"25307002"	"petrolatum (substance)"
"purtect"	"25307002"	"petrolatum (substance)"
"vaseline"	"25307002"	"petrolatum (substance)"
"uni salve"	"25307002"	"petrolatum (substance)"
"moistureworx"	"25307002"	"petrolatum (substance)"
"dermaphor"	"25307002"	"petrolatum (substance)"
"desitin clear"	"25307002"	"petrolatum (substance)"
"neosporin lip health overnight renewal therapy"	"25307002"	"petrolatum (substance)"
"petrola"	"25307002"	"petrolatum (substance)"
"sensi-care body"	"25307002"	"petrolatum (substance)"
"resinol"	"25307002"	"petrolatum (substance)"
"dermafix"	"25307002"	"petrolatum (substance)"
"soothe & cool skin paste"	"25307002"	"petrolatum (substance)"
"probax"	"25307002"	"petrolatum (substance)"
"sayman salve"	"25307002"	"petrolatum (substance)"
"aveeno healing ointment"	"25307002"	"petrolatum (substance)"
"balmex ointment"	"25307002"	"petrolatum (substance)"
"critic-aid clear moisture"	"25307002"	"petrolatum (substance)"
"dermagran gp"	"25307002"	"petrolatum (substance)"
"baza-clear"	"25307002"	"petrolatum (substance)"
"ceprotin"	"25525005"	"protein c (substance)"
"alert brand of caffeine"	"255641001"	"caffeine (substance)"
"lucidex"	"255641001"	"caffeine (substance)"
"wigraine"	"255641001"	"caffeine (substance)"
"cafcit"	"255641001"	"caffeine (substance)"
"migergot"	"255641001"	"caffeine (substance)"
"no doz"	"255641001"	"caffeine (substance)"
"revive"	"255641001"	"caffeine (substance)"
"verv"	"255641001"	"caffeine (substance)"
"keep alert"	"255641001"	"caffeine (substance)"
"vivarin"	"255641001"	"caffeine (substance)"
"stat awake"	"255641001"	"caffeine (substance)"
"diurex water caps"	"255641001"	"caffeine (substance)"
"drowz-away"	"255641001"	"caffeine (substance)"
"waykup"	"255641001"	"caffeine (substance)"
"scot tussin original"	"255641001"	"caffeine (substance)"
"tussirex"	"255641001"	"caffeine (substance)"
"cafergot"	"255641001"	"caffeine (substance)"
"jet-alert"	"255641001"	"caffeine (substance)"
"diurex"	"255641001"	"caffeine (substance)"
"pep-back"	"255641001"	"caffeine (substance)"
"wakespan"	"255641001"	"caffeine (substance)"
"caffedrine"	"255641001"	"caffeine (substance)"
"stay alert"	"255641001"	"caffeine (substance)"
"lysodren"	"255662000"	"mitotane (substance)"
